Source,Station,Latitude,Longitude,Region,SubRegion,YearAdj,Season,Month,Date,Datetime,DissAmmonia_Sign,DissAmmonia,DissNitrateNitrite_Sign,DissNitrateNitrite,DissOrthophos_Sign,DissOrthophos
EMP,C3A,38.36771,-121.5205,North,Middle Sacramento River,2013,Winter,12,2012-12-04,2012-12-04 10:29:00,=,0.1,=,0.35,=,0.03
USGS_CAWSC,11447650,38.456111908,-121.500274658,North,Middle Sacramento River,2013,Winter,12,2012-12-04,2012-12-04 11:20:00,=,0.01,=,0.34,=,0.03
USGS_SFBS,3,38.051667,-121.88,Confluence,Confluence,2013,Winter,12,2012-12-04,2012-12-04 15:39:00,=,0.16178085,=,0.47595785999999995,=,0.077435
USGS_SFBS,6,38.065,-122.035,Suisun Bay,Mid Suisun Bay,2013,Winter,12,2012-12-04,2012-12-04 14:44:00,=,0.1904952,=,0.45438708,=,0.07991292000000001
USGS_SFBS,649,38.06,-121.8,Confluence,Lower Sacramento River,2013,Winter,12,2012-12-04,2012-12-04 16:07:00,=,0.13180587,=,0.51461718,=,0.061948
USGS_SFBS,657,38.151667,-121.688333,Confluence,Sacramento River near Rio Vista,2013,Winter,12,2012-12-04,2012-12-04 17:00:00,=,0.12970482,=,0.46279128,=,0.05823112
EMP,D26,38.07664,-121.5669,Confluence,San Joaquin River at Prisoners Pt,2013,Winter,12,2012-12-06,2012-12-06 13:35:00,=,0.13,=,0.6,=,0.04
EMP,MD10A,38.04226,-121.4199,SouthCentral,Disappointment Slough,2013,Winter,12,2012-12-06,2012-12-06 12:30:00,=,0.14,=,0.85,=,0.11
EMP,P8,37.97817,-121.3823,SouthCentral,San Joaquin River near Stockton,2013,Winter,12,2012-12-06,2012-12-06 11:05:00,=,0.19,=,3,=,0.25
EMP,D19,38.04376,-121.6148,SouthCentral,Franks Tract,2013,Winter,12,2012-12-07,2012-12-07 12:20:00,=,0.12,=,0.58,=,0.06
EMP,D28A,37.97048,-121.573,SouthCentral,Old River,2013,Winter,12,2012-12-07,2012-12-07 13:20:00,=,0.11,=,0.47,=,0.04
EMP,D4,38.06248,-121.8205,Confluence,Lower Sacramento River,2013,Winter,12,2012-12-10,2012-12-10 13:55:00,=,0.11,=,0.37,=,0.05
EMP,D8,38.05992,-121.99,Suisun Bay,Mid Suisun Bay,2013,Winter,12,2012-12-10,2012-12-10 11:50:00,=,0.13,=,0.46,=,0.05
